1.079205011814065 0.9704213310039083,1.1071293853751354 3.96508899818217,1.1043559987684044 5.967157435921142,1.0940176042703367 8.980256810710904,1.0966982091552258 10.991370378541683,1.1088263712689377 12.998762681049293,1.1274481333434172 15.995456344764426,1.1258195878845498 17.98752037012978,1.1117852211658683 19.98171548018036,1.080819223136155 22.9790083395774,1.060630464969709 24.978117197258737,1.042202762487922 27.97524608693014,4.161750968126612 0.9177668001945507,4.192986641445885 3.9120493400797884,4.168706040688093 5.9234085052703955,4.140569606315864 8.973875830224065,4.152820363094753 11.012344479987153,4.191596168915376 13.039777834189644,4.260752696502456 16.013898705936015,4.257782619925705 17.970517542955438,4.222373610341712 19.949069516742412,4.153985775989583 22.942282777714265,4.104563271471585 24.944597222109262,4.0558107625090045 27.95044917147627,6.247026274360011 0.8653902326158411,6.305562570781838 3.8491928259902473,6.253953354346756 5.861328722379689,6.216166760080987 8.972425347976827,6.246368880704429 11.046720813633573,6.305949579718293 13.105093562102216,6.404952551501194 16.044470890922085,6.410199209879862 17.9427646579664,6.380304636934916 19.906433382858104,6.279107848941826 22.87382279734099,6.1794598998289 24.878066303066536,6.079636921414401 27.907173054495356,9.113187612873794 0.8394162652708018,9.174833046444713 3.797344208898012,9.186867500185375 5.787903225203839,9.253646445639903 9.02808214598734,9.32562211192386 11.13749425121458,9.385530273073615 13.20007346113503,9.384461714045646 16.04862265716097,9.353711503311072 17.94839195022983,9.375026423994937 19.909789068066928,9.373205245344831 22.719441894493063,9.264731540112706 24.686829658929483,9.107544877597448 27.798637037051062,10.91209086068045 0.8722036680133836,10.91739820002851 3.8365821447994,10.976750859424683 5.834998729855715,11.078580875671726 9.097252663847629,11.138549928993843 11.20321482380719,11.19145217224709 13.239696510131482,11.159641941448713 15.994024757793506,11.101162915161702 17.931418421779192,11.12257754484206 19.959373881907045,11.228869226678128 22.703041823455894,11.206189964169088 24.58863859135974,11.098764290347887 27.72528014374205,12.789341087552552 0.9244580255142638,12.726784050927934 3.9170874092481722,12.800211400254616 5.932182154882549,12.890458066608284 9.150938491806325,12.920208100327928 11.252695403227863,12.962578594044288 13.27975514902902,12.96291519188589 15.929327877284992,12.892244089878984 17.889543795276744,12.876185343416873 20.020849382880396,13.043081993200301 22.77903547665509,13.104843403872534 24.557759695541368,13.072966598208327 27.678674798049556,15.89432524626743 1.0043635298553444,15.860800467449124 4.010927827226627,15.884851969776387 6.0435676046730755,15.894644168004522 9.163556277793624,15.88990798379433 11.281060049977759,15.90425932197437 13.339968757504291,15.931890046387544 15.903007142916737,15.916398812850334 17.812813219227397,15.910432787702003 20.059563696686922,15.985838767796858 22.931948445302336,16.029143939805678 24.608465174223785,16.041657599047156 27.658892226220203,17.983212510064966 1.0557406448341589,18.00785222837127 4.071147903070662,18.0574350932614 6.092639031334317,18.100863276648745 9.16728008575284,18.097283966993253 11.276423469788764,18.074771392854377 13.33558774207559,18.02725623137396 15.892091153615137,18.01595826934931 17.80353294102981,18.02066517988359 20.074217722433453,18.03271488292064 22.963294427535406,18.03470343043419 24.62029817371047,18.034559662647954 27.65421891862339,20.030692605810927 1.1082506045834115,20.10841745945677 4.160524249995748,20.20713075539421 6.173136334570539,20.291886472350864 9.179804895720926,20.288514033561924 11.25188634758535,20.234004419729686 13.271227647262306,20.10643604205774 15.854003662905892,20.107799173366345 17.811665065637193,20.124879393251728 20.079136649056114,20.07690700069458 22.94808518441311,20.040086033297456 24.608218661962766,20.027919795481097 27.647553181186368,23.02977997681376 1.164215168262319,23.063860434307195 4.28604423532354,23.1024627653489 6.286354306909822,23.1369367131835 9.181206524070616,23.128083906607053 11.190364866793741,23.09257763239674 13.140992514021521,23.13628795176601 15.862127204986848,23.259914157660834 17.905989387854596,23.281044723488307 20.049056760366852,23.072504460874438 22.826163002590516,22.99240987668243 24.5771049918427,23.00642191067627 27.658994369854813,25.00764591779547 1.1601549416709847,24.97730226208418 4.275057659914247,24.941649312527847 6.271792956692157,24.91325882443187 9.156065314870153,24.910127248763864 11.146490752330001,24.92697383762939 13.104412181250446,25.12813270122566 15.991222137133896,25.293840838430505 17.998399976960442,25.287444730225392 19.972080113638,25.043535714053235 22.73377602107965,24.97100875888532 24.606875998872273,24.99623579804039 27.705381161691996,27.98930183670202 1.1092142308756694,27.940335416911598 4.148738794030218,27.879531848159406 6.144707496747139,27.83352522582719 9.090209413049951,27.84319023202354 11.077697813073366,27.911089444354438 13.09503300613466,28.26634711152147 16.157170113879634,28.49416938828808 18.07021984992281,28.455332295077152 19.892643797225904,28.134811131939998 22.727384395697847,28.022903091226087 24.744539666902405,27.998725484515226 27.82488886106196
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.637061516989862e-07,7.212426631229779e-07,6.399841104146685e-07,5.40541967057022e-07,4.800961009394146e-07,4.2037982984293624e-07,3.328556133725782e-07,2.777189059968676e-07,2.2703457152464104e-07,1.6806642006924071e-07,1.5793451892373955e-07,1.978737781806506e-07,7.74866384943794e-07,6.119515773866869e-07,5.442657633407502e-07,4.7643374400699047e-07,4.045996720719101e-07,3.18023168385565e-07,1.9812892213032136e-07,1.3880117673181664e-07,9.623438606323008e-08,6.000951130692642e-08,6.809551690989995e-08,1.520943485196385e-07,1.8079035486024658e-06,1.4345039779200045e-06,1.3574092651045882e-06,1.2127875890508157e-06,9.956217243520323e-07,7.303863361304359e-07,3.798137239084954e-07,2.2268635223495187e-07,1.2414097425733815e-07,5.4026836984332057e-08,5.978876780757694e-08,1.6255061684926818e-07,7.470806996947468e-06,6.0949470191932585e-06,6.102728515915441e-06,5.507437696337781e-06,4.451369271067674e-06,3.179538139637744e-06,1.5397945610400438e-06,8.30891124699808e-07,4.0937857852460875e-07,1.3088600982552123e-07,9.981446896852991e-08,2.2398606717818932e-07,1.687310643035169e-05,1.2912522612923705e-05,1.3138794386683079e-05,1.2048130346000463e-05,9.854141681504495e-06,7.1164306974696595e-06,3.453472874329315e-06,1.8320030987306769e-06,8.690686963161131e-07,2.45311780685065e-07,1.4868306013928143e-07,2.745856088546394e-07,3.233187151396868e-05,1.858747153048468e-05,1.822159292586159e-05,1.8006346904314214e-05,1.6251798674715363e-05,1.2865528572725768e-05,6.757454025420449e-06,3.6243076860668198e-06,1.6918811465780638e-06,4.3977392949883013e-07,2.2053182917008675e-07,3.2535233245238757e-07,4.6775896450873425e-05,-6.0393122406683045e-05,-8.926135359659264e-05,-5.617306272539185e-05,-1.2830463797379404e-05,1.1978199336598312e-05,1.3760054249275957e-05,8.067943599933171e-06,3.7918637818940745e-06,9.19166162156475e-07,3.780291979902451e-07,3.899251970098615e-07,4.675103466383158e-07,-0.00044301599489745104,-0.000646211896098585,-0.00042992175847764044,-0.00015962615082886037,-1.7900822823727622e-05,1.795715585373231e-05,1.1816616789328796e-05,5.6464384517779825e-06,1.3316465321951497e-06,5.02556192622814e-07,4.169820122964931e-07,-0.00012812590690156338,-0.002572432640507498,-0.004917107184246171,-0.0025464461814455786,-0.0005339868001902162,-8.265939091953815e-05,2.0227047600094434e-05,1.537300131770226e-05,7.48177983145774e-06,1.729485092920607e-06,6.142257102426744e-07,4.275385778765674e-07,-0.00032667394212176925,-0.007209266667495202,-0.015723588548148766,-0.0071681476721692046,-0.0010985047569272554,-0.00017500018137304597,2.042389088503404e-05,1.8507994559343204e-05,9.21027088587225e-06,2.0981308864817672e-06,7.087635941121758e-07,4.2632587761241134e-07,-0.00031411976112647724,-0.006888217263024302,-0.015144362438744723,-0.006847451413879639,-0.0010409462572839464,-0.0001723188404131169,2.0242185948368052e-05,1.88149350208512e-05,9.49257736295667e-06,2.1956812686685604e-06,7.476899896543019e-07,4.414683381156481e-07,-9.727749024617531e-06,-0.0014190060146935925,-0.0025106802417112863,-0.0013858555626730942,-0.0003708335345510885,-3.272803539336346e-05,3.708395051389567e-05,2.3299169921976658e-05,1.0759035599313782e-05,2.4015791517855315e-06,8.160464524478957e-07,4.40434625185313e-07
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.118211336589977e-07,5.403066758962577e-07,4.7531779921918386e-07,4.144962299963755e-07,3.8194271790264405e-07,3.4912607239257976e-07,2.9677850775481554e-07,2.6073192978457813e-07,2.257482837066929e-07,1.850052035172684e-07,1.8385012784266584e-07,2.2815248735514936e-07,5.614786244666485e-07,4.0534332229231666e-07,3.855128733866986e-07,4.163056358591483e-07,4.040527608571578e-07,3.5477567624962727e-07,2.4485348033746486e-07,1.7405621074531475e-07,1.1786548023966354e-07,6.979094907047925e-08,7.804574886525598e-08,1.6910412167555056e-07,1.1136412776387163e-06,8.890545473032209e-07,9.745576600482647e-07,1.1499407050022268e-06,1.1197166685788826e-06,9.59234705533389e-07,6.040056414051595e-07,3.8451326309565916e-07,2.2026454439464775e-07,8.638750517044158e-08,7.817051133618272e-08,1.8776937655144985e-07,4.0470874471494755e-06,3.7449342593274276e-06,4.504991569111696e-06,5.4198550708073065e-06,5.243189403003837e-06,4.44277390851198e-06,2.724643568989495e-06,1.6851411871207773e-06,9.240215564624372e-07,3.090967459661484e-07,1.8369731581678165e-07,2.864353427171608e-07,8.883066718488015e-06,8.178431305907408e-06,9.957195553824642e-06,1.1900309853835408e-05,1.1541232189394317e-05,9.879470144363044e-06,6.180663779575799e-06,3.851911295579074e-06,2.1076575795139742e-06,6.786813870111516e-07,3.422330119462368e-07,3.799168809715246e-07,1.7584901895604464e-05,1.3818811582950835e-05,1.538240157483729e-05,1.6882915934171548e-05,1.6904124080796842e-05,1.5805856909833505e-05,1.1391139986928011e-05,7.532869442222375e-06,4.2332429176933855e-06,1.3500811651864114e-06,6.146502254303327e-07,4.932456631951781e-07,3.81047928663285e-05,8.603167445314571e-08,-3.57099715279017e-05,-8.119321104487405e-05,-6.589083901392592e-05,-2.5445415624991994e-05,1.2807150323102949e-05,1.4444593407819637e-05,9.393461600636967e-06,3.0882740850424402e-06,1.2933427044714842e-06,6.884530163911214e-07,5.2914939272316685e-05,-7.40881893823202e-05,-0.00028356211080844126,-0.0006011411366213086,-0.0004952468187112856,-0.00022834928062758956,-7.457361214886424e-06,1.6836502139105476e-05,1.3560087109351662e-05,4.641608108325537e-06,1.884864158332375e-06,8.109745199227102e-07,6.396199349458839e-05,-0.0002335806133007026,-0.0012236171175453257,-0.004761045859441964,-0.0034161053541088703,-0.0008735867507206742,-5.31629153500375e-05,1.5427596053131907e-05,1.7318813115518397e-05,6.194724802649026e-06,2.4649596643155777e-06,8.981414570604218e-07,7.062038830718155e-05,-0.0004628633254834031,-0.0028567093714155917,-0.015412819977744538,-0.010911294111982118,-0.0019826792879564363,-0.00012136917099116588,1.0116661580152657e-05,2.0382288338163772e-05,7.68758984931125e-06,3.0176490766579263e-06,9.428012154503099e-07,7.133821514645123e-05,-0.0004485771188070486,-0.002692991021132172,-0.014868691005970413,-0.010546144600983732,-0.0018943476460402209,-0.0001226357973567299,9.211513264324434e-06,2.053388822369168e-05,7.948264605448102e-06,3.148199006118001e-06,9.683476614410688e-07,0.00010368099969886485,-0.00015854065890726126,-0.0007760421719728061,-0.0024218471893511953,-0.0019137501898117257,-0.0006536201082423167,-1.7590364388772173e-05,3.458675667664652e-05,2.7103568633758652e-05,8.90737228828643e-06,3.4225521128364882e-06,9.922091432035448e-07
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
